Target_genes	FOXO1|Average	SRX1012536|B-Lymphocytes	SRX1012537|B-Lymphocytes	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX3230384|Hep_G2	SRX359830|LoVo	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	STRING
CDC42EP4	10.4	0	0	0	0	0	0	0	0	0	104	0
CDC42EP5	13.3	0	0	0	0	0	133	0	0	0	0	0
CDC42SE1	134.2	0	0	0	0	0	0	0	0	0	1342	0
CDC42SE2	130.5	0	0	0	0	0	0	0	0	0	1305	0
CDC45	89.6	0	0	0	0	0	0	0	0	0	896	0
CDC5L	8.1	0	0	0	0	0	81	0	0	0	0	0
CDC7	15	0	0	0	0	0	0	0	0	0	150	0
CDC73	21.2	0	0	0	0	0	146	0	0	0	66	0
CDCA2	16.6	0	0	0	0	0	0	0	0	0	166	0
CDCA4	176.7	0	0	0	0	0	0	0	0	0	1767	0
CDCA5	30.8	0	0	0	0	0	0	0	0	0	308	0
CDCA7	87.1	0	0	0	0	0	0	0	0	0	871	0
CDCA7L	48.5	148	0	0	0	0	0	0	0	0	337	0
CDH2	14.5	0	0	0	0	0	0	0	0	0	145	0
CDH22	10.6	0	0	0	0	0	0	0	0	0	106	0
CDH23	18.4	0	0	0	0	0	0	0	0	0	184	0
CDH4	11.3	0	0	0	0	0	0	0	0	0	113	0
CDH5	26.2	0	0	0	0	0	0	0	0	0	262	0
CDHR1	13	0	0	0	0	0	0	0	0	0	130	0
CDHR2	20.3	0	0	0	0	0	0	0	0	0	203	0
CDIP1	36.3	0	0	0	0	0	111	0	0	0	252	0
CDIPT	275	0	0	0	0	0	190	1625	0	0	935	0
CDK11A	12	0	0	0	0	0	0	0	0	0	120	0
CDK11B	33.2	0	0	0	0	0	120	0	0	0	212	0
CDK12	12.9	0	0	0	0	0	129	0	0	0	0	0
CDK13	122.7	0	0	0	0	0	74	0	0	0	1153	0
CDK14	43.3	142	0	0	0	0	0	0	0	0	291	0
CDK16	15.9	0	0	0	0	0	0	0	0	0	159	0
CDK17	78.6	0	0	0	0	0	78	0	0	0	708	0
CDK19	166.9	0	0	0	0	0	103	0	0	0	1566	0
CDK2AP1	74.4	0	0	0	0	0	0	0	0	0	744	0
CDK4	23.1	0	0	0	0	0	0	231	0	0	0	0
CDK5	62.3	0	0	0	0	0	102	0	0	0	521	0
CDK5R1	50.9	0	0	0	0	0	0	0	0	0	509	0
CDK5RAP1	32.7	0	0	0	0	0	103	224	0	0	0	0
CDK5RAP2	24	0	0	0	0	0	0	0	0	0	240	0
CDK5RAP3	14.5	0	0	0	0	0	0	0	0	0	145	0
CDK6	15.8	0	0	0	0	0	158	0	0	0	0	0
CDK7	8.6	0	0	0	0	0	0	0	0	0	86	0
CDK8	44.9	0	0	0	0	0	0	0	0	0	449	0
CDK9	111.6	0	0	0	0	0	0	0	0	0	1116	0
CDKL1	39.8	0	0	0	0	0	0	0	0	0	398	0
CDKL3	100.4	113	0	123	0	0	245	100	0	0	423	0
CDKL4	66.4	0	0	0	0	0	549	115	0	0	0	0
CDKN1A	41.8	0	0	0	0	0	0	0	0	0	418	0
CDKN1B	48.6	0	0	0	0	0	0	0	0	0	486	0
CDKN1C	91.1	0	0	0	0	0	0	0	0	0	911	0
CDKN2A	12.3	0	0	0	0	0	0	0	0	0	123	0
CDKN2AIP	135.3	0	0	0	0	0	85	0	0	0	1268	0
CDKN2AIPNL	361.4	0	0	0	0	0	358	1762	0	0	1494	0
CDKN2C	35.6	0	0	0	0	0	0	0	0	0	356	0
CDKN2D	26.3	0	0	0	0	0	263	0	0	0	0	0
CDKN3	33.5	0	0	0	0	0	0	0	0	0	335	0
CDNF	45.8	0	0	0	0	0	0	0	0	0	458	0
CDPF1	132.9	0	0	0	0	0	0	0	0	0	1329	0
CDR2	9.3	0	0	0	0	0	0	0	0	0	93	0
CDR2L	53.1	0	0	0	0	0	0	0	0	0	531	0
CDRT4	10.4	0	0	0	0	0	104	0	0	0	0	0
CDS1	18.6	0	0	0	0	0	0	0	0	0	186	0
CDS2	8.6	0	0	0	0	0	0	0	0	0	86	0
CDV3	23.1	103	0	0	0	0	0	0	0	0	128	0
CDX2	6.4	0	0	0	0	0	0	0	0	0	64	0
CDYL	113.3	0	0	0	0	0	213	0	0	0	920	0
CEBPA	79.2	0	0	0	0	0	0	0	0	0	792	0
CEBPB	16.6	0	0	0	0	0	0	0	0	0	166	0
CEBPD	37.2	0	0	0	0	0	0	0	0	0	372	0
CEBPG	150	0	0	0	0	0	0	0	0	0	1500	0
CEBPZ	10	0	0	0	0	0	0	0	0	0	100	0
CEBPZOS	14	0	0	0	0	0	0	0	0	0	140	0
CECR2	15.1	0	0	0	0	0	0	0	0	0	151	0
CEL	113.1	0	0	0	0	0	0	0	0	0	1131	0
CELF1	70.5	0	0	0	0	0	152	0	0	0	553	0
CELF2	37.8	0	0	0	0	0	0	0	0	0	378	0
CELF5	25.5	0	0	0	0	0	0	0	0	0	255	0
CELSR3	21.7	0	0	0	0	0	103	0	0	0	114	0
CEMIP2	15.7	0	0	0	0	0	0	0	0	0	157	0
CEMP1	32.2	0	0	0	0	0	0	0	0	0	322	0
CENPB	22.6	0	0	0	0	0	0	0	0	0	226	0
CENPBD1	31.3	0	0	0	0	0	0	0	0	0	313	0
CENPC	255.8	0	0	0	0	0	142	0	0	0	2416	0
CENPF	77	0	0	0	0	0	0	0	0	0	770	0
CENPH	10.3	0	0	0	0	0	103	0	0	0	0	0
CENPK	12.2	0	0	0	0	0	122	0	0	0	0	0
CENPL	9.1	0	0	0	0	0	0	0	0	0	91	0
CENPM	167.7	755	523	0	0	0	134	0	0	0	265	0
CENPN	12.3	0	0	0	0	0	0	0	0	0	123	0
CENPO	37.8	0	0	0	0	0	0	0	0	0	378	0
CENPP	28.7	0	0	0	0	0	186	0	0	0	101	0
CENPQ	95.5	0	0	0	0	0	152	136	0	0	667	0
CENPS	31.3	0	0	0	0	0	0	0	0	0	313	0
CENPS-CORT	31.3	0	0	0	0	0	0	0	0	0	313	0
CENPT	117.2	0	0	0	0	0	0	0	0	0	1172	0
CENPU	114	219	0	0	0	0	398	111	0	0	412	0
CENPV	32.9	0	0	0	0	0	0	0	0	0	329	0
CENPVL1	8	0	0	0	0	0	0	0	0	0	80	0
CENPVL2	8	0	0	0	0	0	0	0	0	0	80	0
CENPX	94.4	0	0	0	0	0	0	0	0	0	944	0
CEP104	54.9	0	0	0	0	0	0	77	0	0	472	0
CEP112	89.6	0	0	0	0	0	0	0	0	0	896	0
CEP120	150	106	0	0	0	0	152	346	0	0	896	0
CEP126	9.8	0	0	0	0	0	98	0	0	0	0	0
CEP135	271.7	0	0	0	0	0	358	0	0	0	2359	0
CEP170	160.8	0	0	0	0	0	0	0	0	0	1608	0
CEP19	147.6	0	0	0	0	0	0	0	0	0	1476	0
CEP192	38.3	0	0	0	0	0	0	0	0	0	383	0
CEP250	58.1	0	0	0	0	0	0	0	0	0	581	0
CEP290	40.9	0	0	0	0	0	112	66	0	0	231	0
CEP295	82.4	0	0	0	0	0	0	0	0	0	824	0
CEP43	187.7	0	0	0	0	0	0	0	0	0	1877	0
CEP44	85.1	139	0	0	0	0	0	0	0	0	712	0
CEP55	26.3	0	0	0	0	0	0	0	0	0	263	0
CEP57	156.7	0	0	0	0	0	0	0	0	0	1567	0
CEP57L1	51.1	0	0	0	0	0	0	0	0	0	511	0
CEP63	186.3	0	0	0	0	0	151	0	0	0	1712	0
CEP68	149.9	0	0	0	0	0	0	0	0	0	1499	0
CEP70	17.8	0	0	0	0	0	0	0	0	0	178	0
CEP76	19	0	0	0	0	0	0	0	0	0	190	0
CEP78	20.9	0	0	0	0	0	209	0	0	0	0	0
CEP83	121.2	0	0	0	0	0	0	0	0	0	1212	0
CEP85	48.6	0	0	0	0	0	0	0	0	0	486	0
CEP85L	53.4	0	0	0	0	0	85	0	0	0	449	0
CERCAM	73.7	0	0	0	0	0	0	0	0	0	737	0
CERK	66.5	0	0	0	0	0	0	0	0	0	665	0
CERS1	22.4	0	0	0	0	0	0	0	0	0	224	0
CERS2	47.5	0	0	0	0	0	0	0	0	0	475	0
CERS4	23	0	0	0	0	0	0	0	0	0	230	0
CERS5	168.7	0	0	0	0	0	0	0	0	0	1687	0
CERS6	38	0	0	0	0	0	111	0	0	0	269	0
CES2	93.9	0	0	0	0	0	0	0	0	0	939	0
CES4A	12.5	0	0	0	0	0	0	0	0	0	125	0
CETN3	26.6	0	0	0	0	0	0	0	0	0	266	0
CFAP20	42	0	0	0	0	0	140	0	0	0	280	0
CFAP206	18.6	0	0	0	0	0	0	0	0	0	186	0
CFAP298	31.4	0	0	0	0	0	104	0	0	0	210	0
CFAP298-TCP10L	31.4	0	0	0	0	0	104	0	0	0	210	0
CFAP299	34.9	0	0	0	0	0	0	0	0	0	349	0
CFAP36	8.6	0	0	0	0	0	86	0	0	0	0	0
CFAP410	15.8	0	0	0	0	0	158	0	0	0	0	0
CFAP43	15.6	0	0	0	0	0	0	0	0	0	156	0
CFAP45	20.5	0	0	0	0	0	0	0	0	0	205	0
CFAP46	9	0	0	0	0	0	0	0	0	0	90	0
CFAP53	42	0	0	0	0	0	0	0	0	0	420	0
CFAP54	26.6	0	0	0	0	0	266	0	0	0	0	0
CFAP58	13.1	0	0	0	0	0	0	0	0	0	131	0
CFAP61	36.2	0	0	0	0	0	99	0	0	0	263	0
CFAP77	12.3	0	0	0	0	0	0	0	0	0	123	0
CFAP97	22.7	0	0	0	0	0	0	0	0	0	227	0
CFAP99	18.1	0	0	0	0	0	0	0	0	0	181	0
CFB	36.9	0	0	0	0	0	0	369	0	0	0	0
CFD	19.8	0	0	0	0	0	0	0	0	0	198	0
CFL1	15.1	0	0	0	0	0	0	0	0	0	151	0
CFL2	62.3	0	0	0	0	0	0	0	0	0	623	0
CFLAR	215.5	145	0	0	0	0	151	0	0	0	1859	0
CFP	25.2	0	0	0	0	0	0	0	0	0	252	0
CGAS	41.1	0	0	0	0	0	0	0	0	0	411	0
CGB7	22.8	0	0	0	0	0	0	0	0	0	228	0
CGGBP1	45.3	0	0	0	0	0	167	0	0	0	286	0
CGN	10.2	0	0	0	0	0	0	0	0	0	102	0
CGRRF1	40.6	0	0	0	0	0	0	0	0	0	406	0
CH25H	16.8	0	0	0	0	0	0	0	0	0	168	0
CHAC1	18.3	0	0	0	0	0	0	0	0	0	183	0
CHAC2	11.8	0	0	0	0	0	0	0	0	0	118	0
CHAMP1	49.5	0	0	0	0	0	0	0	0	0	495	0
CHAT	9.3	0	0	0	0	0	0	0	0	0	93	0
CHCHD1	64.7	0	0	0	0	0	0	0	0	0	647	0
CHCHD3	64.1	0	0	0	0	0	116	0	0	0	525	0
CHCHD4	18.6	0	0	0	0	0	0	0	0	0	186	0
CHCHD5	10	0	0	0	0	0	100	0	0	0	0	0
CHCHD6	8	0	0	0	0	0	0	0	0	0	80	0
CHCHD7	27.4	0	0	0	0	0	0	0	0	0	274	0
CHD1	28.4	0	0	0	0	0	197	0	0	0	87	0
CHD1L	90.1	0	0	0	0	0	109	173	0	0	619	0
CHD3	70.5	0	0	0	0	0	0	0	0	0	705	0
CHD7	44.8	0	0	0	0	0	0	0	0	0	448	0
CHD8	12	0	0	0	0	0	120	0	0	0	0	0
CHD9	44	0	0	0	0	0	0	0	0	0	440	0
CHEK1	37.9	0	0	0	0	0	0	0	0	0	379	0
CHEK2	58.8	0	0	0	0	0	0	0	0	0	588	0
CHERP	42.6	0	0	0	0	0	0	0	0	0	426	0
CHFR	39.4	0	0	0	0	0	0	0	0	0	394	0
CHGA	21.6	0	0	0	0	0	0	0	0	0	216	0
CHGB	12.3	0	0	0	0	0	0	0	0	0	123	0
CHI3L2	19.2	0	0	0	0	0	0	192	0	0	0	0
CHIC2	280.3	0	0	0	0	0	737	0	0	0	2066	0
CHKA	165.5	0	0	0	0	0	0	0	0	0	1655	0
CHKB	71.4	0	0	0	0	0	0	0	0	0	714	0
CHMP2B	12.1	0	0	0	0	0	0	0	0	0	121	0
CHMP4B	69.2	0	0	0	0	0	186	0	0	0	506	0
CHMP5	54.3	0	0	0	0	0	116	0	0	0	427	0
CHMP6	21.8	0	0	0	0	0	0	0	0	0	218	0
CHMP7	90.8	216	0	0	0	0	97	0	0	0	595	0
CHN2	24.6	0	0	0	0	0	0	143	0	0	103	0
CHODL	9.2	0	0	0	0	0	0	0	0	0	92	0
CHPF	56.4	0	0	0	0	0	169	0	0	0	395	0
CHPF2	211.3	0	0	0	0	0	0	843	0	0	1270	0
CHPT1	106	0	0	0	0	0	0	230	0	0	830	0
CHRAC1	178.6	0	0	0	0	0	0	0	0	0	1786	0
CHRFAM7A	71.9	0	0	0	0	0	0	0	0	0	719	0
CHRM3	90.1	0	0	0	0	0	0	0	0	0	901	0
CHRM4	17.7	0	0	0	0	0	0	0	0	0	177	0
CHRNA5	35.1	0	0	0	0	0	0	0	0	0	351	0
CHRNA6	12.1	121	0	0	0	0	0	0	0	0	0	0
CHRNB2	52.7	0	0	0	0	0	0	0	0	0	527	0
CHRNB4	8.6	0	0	0	0	0	0	0	0	0	86	0
CHST1	13.3	0	0	0	0	0	0	0	0	0	133	0
CHST11	155.5	0	0	0	0	0	0	0	0	0	1555	0
CHST14	27.5	0	0	0	0	0	0	0	0	0	275	0
CHST15	11.5	0	0	0	0	0	0	0	0	0	115	0
CHST2	27.1	0	0	0	0	0	0	0	0	0	271	0
CHST6	12.8	0	0	0	0	0	0	0	0	0	128	0
CHST8	17	0	0	0	0	0	0	0	0	0	170	0
CHSY1	60.6	0	0	0	0	0	0	0	0	0	606	0
CHSY3	15.2	0	0	0	0	0	0	0	0	0	152	0
CHTF18	21.3	0	0	0	0	0	0	0	0	0	213	0
CHTF8	17.6	0	0	0	0	0	0	0	0	0	176	0
CHTOP	5.9	0	0	0	0	0	59	0	0	0	0	0
CHUK	17.4	0	0	0	0	0	0	0	0	0	174	0
CHURC1	26.4	0	0	0	0	0	117	0	0	0	147	0
CHURC1-FNTB	26.4	0	0	0	0	0	117	0	0	0	147	0
CIAO1	74.2	0	0	0	0	0	169	0	0	0	573	0
CIAO2A	11.9	0	0	0	0	0	119	0	0	0	0	0
CIAO3	14	0	0	0	0	0	0	0	0	0	140	0
CIB1	23.5	0	0	0	0	0	0	0	0	0	235	0
CIB2	14.4	0	0	0	0	0	0	0	0	0	144	0
CIB3	14.4	0	0	0	0	0	0	0	0	0	144	0
CIC	19.8	0	0	0	0	0	198	0	0	0	0	0
CIDEB	71.5	0	0	0	0	0	0	0	0	0	715	0
CIITA	27.6	276	0	0	0	0	0	0	0	0	0	0
CILK1	23.7	0	0	0	0	0	141	0	0	0	96	0
CINP	67.5	0	0	0	0	0	194	264	0	0	217	0
CIPC	251.6	0	0	0	0	0	282	2234	0	0	0	0
CIR1	71.1	0	0	0	0	0	120	152	0	0	439	0
CIRBP	24.8	0	0	0	0	0	0	0	0	0	248	0
CISD1	12.9	0	0	0	0	0	0	0	0	0	129	0
CISD2	40.1	0	0	0	0	0	0	0	0	0	401	0
CISD3	43.5	0	0	0	0	0	0	0	0	0	435	0
CISH	125.5	0	0	0	0	0	0	0	0	0	1255	0
CITED1	22.9	0	0	0	0	0	0	0	0	0	229	0
CITED2	106.9	189	135	114	0	0	441	190	0	0	0	0
CITED4	66.5	0	0	0	0	0	0	0	0	0	665	0
CIZ1	98.1	0	0	0	0	0	0	0	0	0	981	0
CKAP2	287.7	161	0	0	0	0	131	0	0	0	2585	0
CKAP2L	31.9	0	0	0	0	0	0	0	0	0	319	0
CKAP4	64.8	0	0	0	0	0	0	0	0	0	648	0
CKAP5	110.8	0	0	0	0	0	0	0	0	0	1108	0
CKB	20.4	0	0	0	0	0	0	0	0	0	204	0
CKLF	17.8	0	0	0	0	0	0	0	0	0	178	0
CKLF-CMTM1	17.8	0	0	0	0	0	0	0	0	0	178	0
CKS2	52.8	0	0	0	0	0	76	0	0	0	452	0
CLASP1	154.7	0	0	0	0	0	0	1148	0	0	399	0
CLASP2	65.1	0	0	0	0	0	171	0	0	0	480	0
CLASRP	18.3	0	0	0	0	0	0	0	0	0	183	0
CLCC1	157	0	0	0	0	0	0	0	0	0	1570	0
CLCF1	15.7	0	0	0	0	0	0	0	0	0	157	0
CLCN3	11.9	0	0	0	0	0	119	0	0	0	0	0
CLCN6	97.4	0	0	0	0	0	0	0	0	0	974	0
CLDN1	10.1	0	0	0	0	0	0	0	0	0	101	0
CLDN12	133.6	0	0	0	0	0	0	0	0	0	1336	0
CLDN14	14.5	0	0	0	0	0	0	145	0	0	0	0
CLDN20	18.3	0	0	0	0	0	183	0	0	0	0	0
CLDN23	27.3	0	0	0	0	0	0	0	0	0	273	0
CLDN3	36.3	0	0	0	0	0	0	0	0	0	363	0
CLDND1	60.1	0	0	0	0	0	0	0	0	0	601	0
CLDND2	161.1	0	0	0	0	0	0	0	0	0	1611	0
CLEC12A	16.5	0	0	0	0	0	0	0	0	0	165	0
CLEC14A	24.9	0	0	0	0	0	0	0	0	0	249	0
CLEC16A	67.7	0	0	0	0	0	0	0	0	0	677	0
CLEC2B	27.5	0	0	0	0	0	275	0	0	0	0	0
CLEC2D	14.2	142	0	0	0	0	0	0	0	0	0	0
CLGN	14.3	0	0	0	0	0	0	0	0	0	143	0
CLIC1	46.4	0	0	0	0	0	0	108	0	0	356	0
CLIC4	59.4	0	0	0	0	0	140	0	0	0	454	0
CLINT1	13.9	0	0	0	0	0	0	0	0	0	139	0
CLIP2	111.9	0	0	0	0	0	0	0	0	0	1119	0
CLK1	36.9	0	0	0	0	0	369	0	0	0	0	0
CLK2	12.1	0	0	0	0	0	0	0	0	0	121	0
CLK3	72.5	0	0	0	0	0	203	522	0	0	0	0
CLK4	15.3	0	0	0	0	0	0	0	0	0	153	0
CLMN	10.8	0	0	0	0	0	0	0	0	0	108	0
CLN3	14.8	0	0	0	0	0	148	0	0	0	0	0
CLN5	22.1	0	0	0	0	0	0	0	0	0	221	0
CLN6	10.6	0	0	0	0	0	0	0	0	0	106	0
CLN8	74.3	0	0	0	0	0	0	0	0	0	743	0
CLNK	13	0	0	0	0	0	0	0	0	0	130	0
CLNS1A	87.1	0	0	0	0	0	157	581	0	0	133	0
CLOCK	99.6	0	0	0	0	0	0	0	0	0	996	0
CLP1	61.8	87	0	0	0	0	212	201	0	0	118	0
CLPB	11.3	0	0	0	0	0	113	0	0	0	0	0
CLPS	11.4	0	0	0	0	0	0	0	0	0	114	0
CLPTM1L	88	0	0	0	0	0	0	0	0	0	880	0
CLPX	8.6	0	0	0	0	0	86	0	0	0	0	0
CLSPN	22.3	0	0	0	0	0	0	0	0	0	223	0
CLSTN3	50.1	0	0	0	0	0	0	0	0	0	501	0
CLTA	26.2	0	0	0	0	0	96	0	0	0	166	0
CLTC	31.7	0	0	0	0	0	109	0	0	0	208	0
CLU	40.1	0	0	0	0	0	0	0	0	0	401	0
CLUAP1	17.4	0	0	0	0	0	174	0	0	0	0	0
CLUH	38.9	0	0	0	0	0	116	0	0	0	273	0
CLVS2	8.4	0	0	0	0	0	0	0	0	0	84	0
CLYBL	22.1	0	0	0	0	0	0	0	0	0	221	0
CMAS	14.3	0	0	0	0	0	0	0	0	0	143	0
CMC2	12.3	0	0	0	0	0	0	0	0	0	123	0
CMC4	115.9	0	0	0	0	0	0	0	0	0	1159	0
CMIP	74.4	0	0	0	0	0	0	0	0	0	744	0
CMPK2	71.7	0	0	0	0	0	0	0	0	0	717	0
CMSS1	17.9	0	0	0	0	0	179	0	0	0	0	0
CMTM4	57.2	0	0	0	0	0	0	0	0	0	572	0
CMTM5	17.7	0	0	0	0	0	0	0	0	0	177	0
CMTM6	78.7	0	0	0	0	0	170	0	0	0	617	0
CMTM7	35.2	0	0	0	0	0	0	0	0	0	352	0
CMTR1	32.8	0	0	0	0	0	0	0	0	0	328	0
CNBP	15.8	0	0	0	0	0	0	0	0	0	158	0
CNDP2	106.5	0	0	0	0	0	0	0	0	0	1065	0
CNEP1R1	63.1	0	0	0	0	0	0	156	0	0	475	0
CNIH1	221.6	0	0	0	0	0	0	0	0	0	2216	0
CNIH3	13.3	0	0	0	0	0	0	0	0	0	133	0
CNIH4	23.3	0	0	0	0	0	0	0	0	0	233	0
CNKSR2	13	0	0	0	0	0	0	0	0	0	130	0
CNKSR3	74.6	0	0	0	0	0	101	0	0	0	645	0
CNNM2	86	0	0	0	0	0	0	0	0	0	860	0
CNNM3	247.5	138	122	148	119	94	137	0	0	0	1717	0
CNNM4	46.5	0	0	0	0	0	0	0	0	0	465	0
CNOT10	41	0	0	0	0	0	133	0	0	0	277	0
CNOT11	24.7	0	0	0	0	0	0	0	0	0	247	0
CNOT2	21.4	0	0	0	0	0	0	0	0	0	214	0
CNOT4	9.8	0	0	0	0	0	0	0	0	0	98	0
CNOT6	32.3	0	0	0	0	0	169	0	0	0	154	0
CNOT6L	70.2	0	0	0	0	0	92	0	0	0	610	0
CNOT7	68.1	0	0	0	0	0	0	0	0	0	681	0
CNOT8	176.2	0	0	0	0	0	208	1128	0	0	426	0
CNOT9	10.6	0	0	0	0	0	0	0	0	0	106	0
CNP	14.9	0	0	0	0	0	0	0	0	0	149	0
CNPPD1	153.8	0	0	0	0	0	69	92	0	0	1377	0
CNPY2	10.4	0	0	0	0	0	0	0	0	0	104	0
CNPY3	165.1	112	0	0	0	0	135	0	0	0	1404	0
CNR2	124.1	395	174	0	0	0	0	0	0	0	672	0
CNST	206.1	0	0	0	0	0	140	1639	0	0	282	0
CNTLN	21.7	0	0	0	0	0	0	0	0	0	217	0
CNTN4	43.2	0	0	0	0	0	432	0	0	0	0	0
CNTNAP1	29.8	0	0	0	0	0	0	0	0	0	298	0
CNTRL	24.2	0	0	0	0	0	0	0	0	0	242	0
COA1	57.1	0	0	0	0	0	0	571	0	0	0	0
COA4	72.1	0	0	0	0	0	0	0	0	0	721	0
COA5	65.4	0	0	0	0	0	0	0	0	0	654	0
COA6	142	0	0	0	0	0	80	0	0	0	1340	0
COA8	45.2	0	0	0	0	0	0	0	0	0	452	0
COASY	18.7	0	0	0	0	0	0	0	0	0	187	0
COBLL1	93	252	152	0	0	0	0	0	0	0	526	0
COCH	12	0	0	0	0	0	0	0	0	0	120	0
COG2	84.3	0	0	0	0	0	121	0	0	0	722	0
COG3	15.1	0	0	0	0	0	151	0	0	0	0	0
COG5	9.7	0	0	0	0	0	0	0	0	0	97	0
COG6	30.6	0	0	0	0	0	0	0	0	0	306	0
COG8	198.9	0	0	0	0	0	119	1589	0	0	281	0
COL18A1	54.4	0	0	0	0	0	0	0	0	0	544	0
COL19A1	29.5	0	0	0	0	0	0	0	0	0	295	0
COL1A1	21.3	0	0	0	0	0	0	0	0	0	213	0
COL21A1	62	0	0	0	0	0	452	168	0	0	0	0
COL23A1	38.7	0	0	0	0	0	0	0	0	0	387	0
COL26A1	36.8	0	0	0	0	0	0	0	0	0	368	0
COL2A1	8.2	0	0	0	0	0	0	0	0	0	82	0
COL8A1	11	0	0	0	0	0	110	0	0	0	0	0
COL9A2	10.4	0	0	0	0	0	0	0	0	0	104	0
COLEC12	41.2	0	0	0	0	0	412	0	0	0	0	0
COLGALT1	25.2	0	0	0	0	0	0	0	0	0	252	0
COLGALT2	41.2	0	0	0	0	0	0	0	0	0	412	0
COMMD1	10.7	0	0	0	0	0	0	0	0	0	107	0
COMMD10	10.4	0	0	0	0	0	0	0	0	0	104	0
COMMD2	12.2	0	0	0	0	0	122	0	0	0	0	0
COMMD3	48.4	215	106	0	0	0	0	0	0	0	163	0
COMMD3-BMI1	48.4	215	106	0	0	0	0	0	0	0	163	0
COMMD4	13.1	0	0	0	0	0	0	0	0	0	131	0
COMMD5	70.1	0	0	0	0	0	0	400	0	0	301	0
COMMD6	32.9	0	0	0	0	0	115	0	0	0	214	0
COMMD7	71	0	0	0	0	0	0	0	0	0	710	0
COMMD9	19.1	0	0	0	0	0	0	0	0	0	191	0
COMT	42.6	0	0	0	0	0	0	0	0	0	426	0
COMTD1	33.8	0	0	0	0	0	0	0	0	0	338	0
COP1	16	0	0	0	0	0	0	0	0	0	160	0
COPA	62.4	0	0	0	0	0	0	624	0	0	0	0
COPB1	101	0	0	0	0	0	0	0	0	0	1010	0
COPB2	10.9	0	0	0	0	0	0	0	0	0	109	0
COPE	11.6	0	0	0	0	0	116	0	0	0	0	0
COPG1	42	0	0	0	0	0	90	0	0	0	330	0
COPG2	40.4	0	0	0	0	0	0	0	0	0	404	0
COPRS	27.1	0	0	0	0	0	0	0	0	0	271	0
COPS2	40.7	0	0	0	0	0	151	133	0	0	123	0
COPS4	260.5	0	0	0	0	0	288	2215	0	0	102	0
COPS6	21.3	0	0	0	0	0	0	0	0	0	213	0
COPS7A	159.4	0	0	0	0	0	120	648	0	0	826	0
COPS7B	25	0	0	0	0	0	100	0	0	0	150	0
COPS8	163.3	0	0	0	0	0	289	1344	0	0	0	0
COPS9	183.3	0	0	0	0	0	192	1641	0	0	0	0
COPZ2	9.7	0	0	0	0	0	0	0	0	0	97	0
COQ10A	43	0	0	0	0	0	0	0	0	0	430	0
COQ2	165	0	0	0	0	0	0	0	0	0	1650	0
COQ4	14	0	0	0	0	0	0	0	0	0	140	0
COQ6	47.6	0	0	0	0	0	0	0	0	0	476	0
COQ7	11	0	0	0	0	0	110	0	0	0	0	0
COQ8A	49.6	0	0	0	0	0	254	0	0	0	242	0
COQ8B	33.8	0	0	0	0	0	338	0	0	0	0	0
CORO1A	12.5	0	0	0	0	0	0	0	0	0	125	0
CORO1B	24.2	0	0	0	0	0	0	0	0	0	242	0
CORO1C	106.6	0	0	0	0	0	0	0	0	0	1066	0
CORO2A	33.1	0	0	0	0	0	0	0	0	0	331	0
CORO2B	65.5	199	126	0	0	0	126	0	0	0	204	0
CORO6	110.8	0	0	0	0	0	0	0	0	0	1108	0
CORO7	34.6	0	0	0	0	0	0	0	0	0	346	0
CORO7-PAM16	34.6	0	0	0	0	0	0	0	0	0	346	0
COX14	8.7	0	0	0	0	0	87	0	0	0	0	0
COX15	21.4	0	0	0	0	0	147	67	0	0	0	0
COX16	17	0	0	0	0	0	170	0	0	0	0	0
COX17	15.7	0	0	0	0	0	0	0	0	0	157	0
COX18	56.4	0	0	0	0	0	111	0	0	0	453	0
COX19	32.5	0	0	0	0	0	0	0	0	0	325	0
COX20	44.2	0	0	0	0	0	0	0	0	0	442	0
COX4I1	55.6	0	0	0	0	0	0	183	0	0	373	0
COX5A	154.8	0	0	0	0	0	0	0	0	0	1548	0
COX5B	15.6	0	0	0	0	0	0	0	0	0	156	0
COX6A1	8.8	0	0	0	0	0	0	0	0	0	88	0
COX6C	20.2	0	0	0	0	0	0	0	0	0	202	0
COX7A2L	57.3	0	0	0	0	0	176	0	0	0	397	0
COX8A	15.3	0	0	0	0	0	0	0	0	0	153	0
CPA3	17.2	0	0	0	0	0	0	0	0	0	172	0
CPD	27.1	0	0	0	0	0	0	0	0	0	271	0
CPE	27.5	0	0	0	0	0	0	0	0	0	275	0
CPEB2	77.4	0	0	0	0	0	0	0	0	0	774	0
CPEB3	24.1	0	0	0	0	0	114	0	0	0	127	0
CPEB4	20.5	0	0	0	0	0	0	0	0	0	205	0
CPED1	32.6	0	0	0	0	0	326	0	0	0	0	0
CPLANE1	12.7	0	0	0	0	0	0	0	0	0	127	0
CPLANE2	89.8	0	0	0	0	0	0	0	0	0	898	0
CPLX1	15.7	0	0	0	0	0	0	0	0	0	157	0
CPLX2	62.8	0	0	0	0	0	0	0	0	0	628	0
CPM	40.9	0	0	0	0	0	0	0	0	0	409	0
CPNE1	33.9	0	0	0	0	0	0	0	0	0	339	0
CPNE2	197.9	0	0	0	0	0	0	0	0	0	1979	0
